,film,is_winner,post_awards_gross,post_awards_num_theaters,post_nom_gross,post_nom_num_theaters,pre_nom_gross,pre_nom_num_theaters,release_date,studio,total_gross,url,year,year_rank,avg_ticket_price,pre_nom_num_tickets,post_nom_num_tickets,post_awards_num_tickets,pre_nom_gross_2016_dollars,post_nom_gross_2016_dollars,post_awards_gross_2016_dollars,pre_nom_gross_2016_dollars_nearest_25m
0,E.T.: The Extra-Terrestrial,FALSE,"$17,148,819",836,"$12,650,731",855,"$329,397,487","1,778",11-Jun,Uni.,"$359,197,037",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1982&p=.htm,1982,1,2.94," 112,039,961.56 "," 4,302,969.73 "," 5,832,931.63 "," $915,366,485.98 "," $35,155,262.68 "," $47,655,051.44 "," $910,000,000.00 "
1,Tootsie,FALSE,"$25,188,538","1,092","$51,243,393","1,222","$100,768,069","1,222",17-Dec,Col.,"$177,200,000",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1982&p=.htm,1982,2,2.94," 34,274,853.40 "," 17,429,725.51 "," 8,567,529.93 "," $280,025,552.29 "," $142,400,857.42 "," $69,996,719.54 "," $280,000,000.00 "
2,The Verdict,FALSE,"$2,132,882",452,"$12,153,264",854,"$39,691,104",904,10-Dec,Fox,"$53,977,250",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1982&p=.htm,1982,11,2.94," 13,500,375.51 "," 4,133,763.27 "," 725,470.07 "," $110,298,067.92 "," $33,772,845.88 "," $5,927,090.46 "," $110,000,000.00 "
3,Gandhi,TRUE,"$13,868,952",825,"$27,037,493",805,"$11,861,444",357,10-Dec,Col.,"$52,767,889",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1982&p=.htm,1982,12,2.94," 4,034,504.76 "," 9,196,426.19 "," 4,717,330.61 "," $32,961,903.90 "," $75,134,801.98 "," $38,540,591.10 "," $30,000,000.00 "
4,Terms of Endearment,TRUE,"$13,716,132",918,"$21,799,893","1,259","$72,907,464","1,027",23-Nov,Par.,"$108,423,489",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1983&p=.htm,1983,2,3.15," 23,145,226.67 "," 6,920,600.95 "," 4,354,327.62 "," $189,096,501.87 "," $56,541,309.78 "," $35,574,856.65 "," $180,000,000.00 "
5,The Big Chill,FALSE,"$181,266",-,"$3,660,591",584,"$52,500,854",832,30-Sep,Col.,"$56,342,711",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1983&p=.htm,1983,13,3.15," 16,666,937.78 "," 1,162,092.38 "," 57,544.76 "," $136,168,881.64 "," $9,494,294.75 "," $470,140.70 "," $130,000,000.00 "
6,The Right Stuff,FALSE,-,-,"$5,512,489",627,"$15,679,613",235,21-Oct,WB,"$21,192,102",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1983&p=.htm,1983,33,3.15," 4,977,654.92 "," 1,749,996.51 ", -   ," $40,667,440.70 "," $14,297,471.47 ", $-   ," $40,000,000.00 "
7,Tender Mercies,FALSE,-,-,-,-,"$8,443,124",37,4-Mar,Uni.,"$8,443,124",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1983&p=.htm,1983,78,3.15," 2,680,356.83 ", -   , -   ," $21,898,515.26 ", $-   , $-   ," $20,000,000.00 "
8,Amadeus,TRUE,"$16,776,985",802,"$9,068,888",501,"$25,718,407",514,21-Sep,Orion,"$51,564,280",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1984&p=.htm,1984,12,3.36," 7,654,287.80 "," 2,699,073.81 "," 4,993,150.30 "," $62,535,531.31 "," $22,051,433.02 "," $40,794,037.93 "," $60,000,000.00 "
9,Places in the Heart,FALSE,"$1,346,199",235,"$2,311,692",266,"$31,243,723",868,21-Sep,TriS,"$34,901,614",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1984&p=.htm,1984,24,3.36," 9,298,727.08 "," 688,003.57 "," 400,654.46 "," $75,970,600.27 "," $5,620,989.18 "," $3,273,346.97 "," $70,000,000.00 "
10,The Killing Fields,FALSE,"$6,876,941",609,"$16,165,165",663,"$11,658,185",663,2-Nov,WB,"$34,700,291",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1984&p=.htm,1984,25,3.36," 3,469,697.92 "," 4,811,061.01 "," 2,046,708.63 "," $28,347,431.98 "," $39,306,368.47 "," $16,721,609.51 "," $20,000,000.00 "
11,A Passage to India,FALSE,"$2,276,207",498,"$11,413,768",650,"$13,497,678",650,14-Dec,Col.,"$27,187,653",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1984&p=.htm,1984,34,3.36," 4,017,166.07 "," 3,396,954.76 "," 677,442.56 "," $32,820,246.80 "," $27,753,120.40 "," $5,534,705.71 "," $30,000,000.00 "
12,The Color Purple,FALSE,"$16,217,721","1,082","$31,512,782","1,109","$46,445,351","1,109",20-Dec,WB,"$94,175,854",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1985&p=.htm,1985,4,3.55," 13,083,197.46 "," 8,876,840.00 "," 4,568,372.11 "," $106,889,723.29 "," $72,523,782.80 "," $37,323,600.16 "," $100,000,000.00 "
13,Out of Africa,TRUE,"$15,328,213",913,"$16,161,028","1,102","$55,581,964","1,102",20-Dec,Uni.,"$87,071,205",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1985&p=.htm,1985,5,3.55," 15,656,891.27 "," 4,552,402.25 "," 4,317,806.48 "," $127,916,801.66 "," $37,193,126.41 "," $35,276,478.93 "," $120,000,000.00 "
14,Witness,FALSE,-,-,-,-,"$68,706,993","1,169",8-Feb,Par.,"$68,706,993",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1985&p=.htm,1985,8,3.55," 19,354,082.54 ", -   , -   ," $158,122,854.31 ", $-   , $-   ," $150,000,000.00 "
15,Prizzi's Honor,FALSE,-,-,-,-,"$26,657,534",722,14-Jun,Fox,"$26,657,534",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1985&p=.htm,1985,32,3.55," 7,509,164.51 ", -   , -   ," $61,349,874.02 ", $-   , $-   ," $60,000,000.00 "
16,Platoon,TRUE,"$34,482,857","1,564","$64,750,347","1,560","$39,297,361",856,19-Dec,Orion,"$138,530,565",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1986&p=.htm,1986,3,3.71," 10,592,280.59 "," 17,452,923.72 "," 9,294,570.62 "," $86,538,932.44 "," $142,590,386.79 "," $75,936,641.96 "," $80,000,000.00 "
17,Hannah and Her Sisters,FALSE,-,-,-,-,"$35,392,203",761,7-Feb,Orion,"$35,392,203",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1986&p=.htm,1986,30,3.71," 9,539,677.36 ", -   , -   ," $77,939,164.02 ", $-   , $-   ," $70,000,000.00 "
18,Children of a Lesser God,FALSE,"$4,420,584",274,"$5,301,392",463,"$22,131,104",544,3-Oct,Par.,"$31,853,080",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1986&p=.htm,1986,32,3.71," 5,965,257.14 "," 1,428,946.63 "," 1,191,532.08 "," $48,736,150.86 "," $11,674,493.97 "," $9,734,817.06 "," $40,000,000.00 "
19,A Room with a View,FALSE,"$6,931,604",117,"$2,545,910",150,"$11,489,130",47,7-Mar,Cinc,"$20,966,644",http://www.boxofficemojo.com/oscar/chart/?view=&yr=1986&p=.htm,1986,44,3.71," 3,096,800.54 "," 686,229.11 "," 1,868,356.87 "," $25,300,860.40 "," $5,606,491.83 "," $15,264,475.65 "," $20,000,000.00 "
